Year,MajorArea,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2017,Cameroon,12.7,8.8,5.7,7.4,8.4,9.2,9.3,8.5,7.5,6.6,5.4,4.2,2.4,1.7,1.1,1.1,100
2017,Central African Republic,9.9,7.5,6,6.4,8.5,9.8,9.6,8.8,7.9,6.9,5.4,4.1,3.2,2.3,1.6,1.9,100
2017,Chad,12.4,9.7,9.2,9,9.5,9.5,8.6,7.6,6.4,5.1,4,3.2,2.5,1.7,0.9,0.7,100
2017,Congo,8.3,7.4,6.6,6.8,8.1,9.4,9.8,9.5,8.8,7.7,5.9,4.3,3,2.1,1.3,1,100
2017,Democratic Republic of the Congo,5.6,7.7,8.8,10,11,10.8,9.6,8.1,6.8,5.6,4.6,3.8,2.9,2,1.2,1.3,100
2017,Equatorial Guinea,0.7,0.8,1,2,10.5,21.6,19.4,16,10.5,6.8,4.6,2.4,1.7,1,0.6,0.5,100
2017,Gabon,9.2,7,5.9,6.9,9,10.6,10.5,9.1,7.6,6.4,5.1,4.1,3.3,2.6,1.4,1.1,100
2017,Sao Tome and Principe,4.1,5.2,4.7,5.1,5.5,6.3,6.4,6,6,7.2,8.1,6.6,4.6,4.1,5.5,14.6,100
2017,Northern Africa,8,6.9,7,7.6,8.9,10.3,10,8.5,7.1,6,4.9,4.1,3.5,2.8,2.2,2.3,100
2017,Algeria,6.2,5.9,5.1,4.7,5.1,6.1,7.2,7.9,8.6,8.4,7.8,7.4,6.9,5.4,4.1,3.1,100
2017,Egypt,4.8,4.4,4.2,5.2,7.6,12.6,13.8,11.6,9.2,7.7,5.9,4.4,2.9,1.9,1.6,2.2,100
2017,Libya,10.9,8.5,9.3,10,11,11.1,9.9,7.7,5.5,3.9,2.9,2.6,2.6,1.9,1,1.1,100
2017,Morocco,6.9,5.7,4.7,5.3,7.4,9.1,9.6,9.1,8.3,7.5,6.3,5.3,4.4,3.6,2.8,4.2,100
2017,Sudan,9,8.1,8.3,9.1,10,10,8.7,7.2,5.9,5.1,4.2,3.5,3,2.8,2.6,2.6,100
2017,Tunisia,5.3,4.4,4,4.8,6.4,8.2,9.2,9.5,9.5,9.1,8.2,7,5.7,3.9,2.3,2.4,100
2017,Western Sahara,5.2,4.7,4.4,5.4,8,10,10.5,9.7,8.6,7.7,6.6,5.5,4.4,3.3,2.5,3.4,100
2017,Southern Africa,5.7,5.2,4.7,5.2,8.5,12.3,12.8,10.8,8.2,6,4.5,3.9,3.4,2.7,2.5,3.7,100
2017,Botswana,8.7,7.5,6.4,6.5,8.5,10.2,10.2,9.9,8.3,6.9,5.7,4,2.7,1.9,1.4,1.3,100
2017,Lesotho,5.8,5.1,4.7,5.3,7.1,9.1,10.4,10.3,9.7,8.8,7.6,5.6,3,2.9,1.9,2.7,100
2017,Namibia,2.5,3.8,4.1,5.3,8.4,12.2,12.6,9.8,8.2,7.5,6.4,5.1,4.1,3.2,2.5,4.4,100
2017,South Africa,5.7,5.2,4.7,5.2,8.6,12.4,12.9,10.8,8.2,5.9,4.4,3.8,3.4,2.7,2.5,3.8,100
2017,Swaziland,6.3,5.9,5.7,5.8,6.8,8.6,9.6,9.4,8.3,7.3,6.4,5.4,4.5,3.7,3,3.2,100
2017,Western Africa,9.7,8.3,7.5,8.3,10.1,11,10.3,9,7.3,5.7,4.1,3,2.2,1.5,1,0.9,100
2017,Benin,11.6,8,6.3,6.8,9.2,11,10.1,8.9,7.4,5.9,4.5,3.1,2.6,2,1.2,1.4,100
2017,Burkina Faso,6.1,5,4.3,7.5,11.2,12.8,11.8,10.2,8.5,6.9,5.1,3.8,2.7,1.7,1.2,1.3,100
2017,Cabo Verde,1.7,2.6,3.1,4.7,7.6,9.8,10.9,11.5,11.2,10.2,7.6,5.9,4.6,3.5,2.2,2.9,100
2017,Côte d'Ivoire,5.6,5.3,5.1,6.8,10.1,12.7,12.7,11.4,9.1,6.9,4.9,3.5,2.4,1.7,1.1,0.8,100
2017,Gambia,10.4,8.4,7.6,8.1,9.9,10.9,10.9,9.8,7.6,5.3,3.5,2.5,1.8,1.5,0.9,0.8,100
2017,Ghana,11.1,8.2,7.2,8.1,10.2,11.3,10.6,8.7,6.7,5.3,3.9,2.9,2.1,1.5,1.1,1,100
2017,Guinea,8.7,8,7.7,8.8,11.4,11.4,9.5,7.6,6,4.9,4,3.4,2.8,2.4,1.7,1.8,100
2017,Guinea-Bissau,14.1,10.7,7.7,6.7,9.4,11.6,10.3,7.6,5.6,4.4,3.5,2.8,1.9,1.3,1,1.4,100
2017,Liberia,12.7,9.4,9.9,11.1,9.9,8.8,8.8,7.4,6,4.7,3.5,2.6,1.9,1.3,1,1.1,100
2017,Mali,6.3,6.2,7.9,10.9,13,12.6,10.5,8.2,6.4,5.1,3.8,2.8,2.2,1.7,1.2,1.3,100
2017,Mauritania,14.3,11.4,8.8,8.3,9.9,10.3,9,7.2,5.5,4.2,3,2.4,1.8,1.4,1,1.4,100
2017,Niger,11,9.9,9.4,9.9,10.8,10.2,8.3,7.1,5.9,4.8,3.8,3.1,2.5,1.7,0.9,0.8,100
2017,Nigeria,18.9,15.4,12.1,9.1,7.7,6.7,5.8,5.7,5.4,4.4,3.1,2.1,1.4,0.9,0.6,0.5,100
2017,Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2017,Senegal,5.1,5,7.5,10.1,12.3,13.2,11.9,9.7,7.3,5.2,3.8,3,2.2,1.4,0.9,1.5,100
2017,Sierra Leone,9.7,10.3,11.5,11.7,11,9.9,8.6,7.2,5.7,4.5,3.3,2.3,1.6,1.2,0.8,0.7,100
2017,Togo,11.3,11,11.8,11.7,10.7,9.7,8.3,6.7,5.2,4,2.9,2.1,1.6,1.1,0.8,1,100
2017,ASIA,5.5,5.2,4.6,5.2,7.7,10.8,11.8,10.7,8.9,7.2,5.5,4.5,3.5,2.7,2.3,3.9,100
2017,Central Asia,1.5,2.4,2.9,4.1,6.8,8.6,8.9,8.1,7.3,7.1,6.9,6.9,6.6,5.8,6,10,100
2017,Kazakhstan,1.7,2.9,3.3,4.7,8.3,10.3,10.5,8.9,7.4,6.9,6.2,6.1,5.5,4.3,4.4,8.7,100
2017,Kyrgyzstan,1.5,1.6,1.7,2.2,4.5,7.5,8.6,8.1,8,7.8,8,8.2,7.7,6.1,5.3,13.2,100
2017,Tajikistan,0.8,1.2,1.7,2.5,3.3,4.3,5.2,6.2,7.2,8.3,9.5,10.5,11.1,10.6,8.5,9,100
2017,Turkmenistan,1.4,1.5,2,2.9,3.9,4.8,5.7,6.4,7,7.6,8,8.4,8.6,8.7,9.6,13.5,100
2017,Uzbekistan,1.3,1.7,2.2,3.2,4.3,5.3,6,6.5,6.9,7.3,7.6,7.9,8.2,8.8,9.7,12.9,100
2017,Eastern Asia,1.9,2.1,2.2,3.7,8.2,11,11.2,10.3,9.9,9,6.9,5.7,4.6,3.7,3,6.5,100
2017,China,6.5,6,5.2,5.2,6.9,8.6,9.3,9.2,8.6,7.7,6.6,5.5,4.4,3.7,2.9,3.7,100
2017,China. Hong Kong SAR,0.4,1.1,1.6,2.9,5.6,9.8,11.2,10.5,10.1,9.1,6.5,6,5.4,4.7,4.3,10.9,100
2017,China. Macao SAR,0.5,1.4,1.9,3,5.7,9,10.4,10.2,10.5,10.4,9.4,8.2,6.7,5,3.2,4.5,100
2017,Dem. People's Republic of Korea,5.3,4.7,4.2,5,7.7,10.1,10.7,10.1,9,7.9,6.5,5.2,4.1,3.7,2.7,3.1,100
2017,Japan,3,2.6,2.3,4.6,11.2,11.9,11.2,10.2,10,9,6.8,4.8,3.6,2.8,2.2,3.8,100
2017,Mongolia,4.1,4.9,4.7,5.2,8.6,10.7,8.8,9,8.9,8.9,7.8,6.5,4.6,3,1.9,2.4,100
2017,Republic of Korea,1.7,1.6,1.4,3,11.7,15.8,13.1,10.8,10.3,9.4,8.2,6.3,3.6,1.6,0.7,0.7,100
2017,Southern Asia,2.5,2.8,3.3,4.8,7.2,9.7,10.8,10.4,9.7,8.6,7.5,6.6,4.8,3.6,2.8,5,100
