Qatar,65,70.4,60.7,74.7,81.8,68,65.2
Saudi Arabia,30.6,27.3,25.3,27.2,30.7,34.1,37
State of Palestine,13.7,10.8,8.5,7.5,6.3,5.5,5.2
Syrian Arab Republic,5.7,5.8,5.1,4.8,8.5,5.3,5.5
Turkey,2.2,2.1,2,1.9,1.9,5.3,6
United Arab Emirates,70.2,74.5,77.6,71.6,88.5,87.3,88.4
Yemen,1,0.9,0.8,0.8,1.2,1.4,1.4
EUROPE,6.8,7.3,7.7,8.7,9.6,10.1,10.5
Eastern Europe,7.1,6.9,6.7,6.6,6.5,6.8,6.9
Belarus,12.2,11.7,11.3,11.5,11.5,11.4,11.4
Bulgaria,0.2,0.4,0.5,0.8,1,1.9,2.2
Czechia,1.1,1.6,2.1,3.1,3.8,3.9,4.1
Hungary,3.3,3.1,2.9,3.6,4.4,4.9,5.2
Poland,3,2.5,2.1,1.9,1.7,1.6,1.7
Republic of Moldova,12.5,8.5,5.9,4.2,3.9,3.5,3.5
Romania,0.6,0.6,0.6,0.7,0.8,1.4,1.9
Russian Federation,7.8,8,8.1,8.1,7.8,8.1,8.1
Slovakia,0.8,1.3,2.2,2.4,2.7,3.3,3.4
Ukraine,13.4,12.1,11.3,10.8,10.5,11,11.2
Northern Europe,7.2,7.7,8.4,9.9,11.8,12.8,13.4
Channel Islands,43.8,42,43.2,46,48.6,50.3,50.3
Denmark,4.6,5.8,6.9,8.1,9.2,10.5,11.5
Estonia,24.4,22,17.8,17.2,16.4,14.8,14.7
Faeroe Islands,9,6.3,7.6,9.5,10.5,11.3,11.6
Finland,1.3,1.9,2.6,3.7,4.6,5.7,6.2
Iceland,3.8,4.8,5.7,8.6,11,11.8,12.5
Ireland,6.4,6.2,9.1,14,15.8,16,16.9
Isle of Man,50.8,52.6,53.8,54.5,54.3,54.4,54.4
Latvia,24.2,21.5,18,16.7,14.8,13.3,13.2
Lithuania,9.4,7.5,6.1,6,5.1,4.6,4.3
Norway,4.5,5.3,6.5,7.8,10.8,14.4,15.1
Sweden,9.2,10.6,11.3,12.5,14.2,16.4,17.6
United Kingdom,6.4,7.2,8,9.8,12,12.9,13.4
Southern Europe,3,4.1,5.2,8,10.5,10.4,10.5
Albania,2,2.3,2.5,2.1,1.8,1.8,1.8
Andorra,71.4,63.5,64.5,63.8,61.6,53.9,53.3
Bosnia and Herzegovina,1.3,1.8,2.2,1.3,1,1.1,1.1
Croatia,10,14.6,13.2,13.2,13.2,13.6,13.4
Gibraltar,29.9,27.8,25.8,28.7,31.2,32.3,32.3
Greece,6,8,10,10.5,11.5,11.1,10.9
Holy See,100,100,100,100,100,100,100
Italy,2.5,3.1,3.7,6.7,9.7,9.8,10
Malta,4.1,4.7,5.4,6,7.9,9.9,10.6
Montenegro,0,0,0,0,12.6,13.1,11.3
Portugal,4.4,5.2,6.3,7.3,7.2,8.3,8.5
San Marino,13.8,14.1,14.8,14.4,14.1,15.7,15.7
Serbia,1,6.4,9,9.2,9.1,9.1,9.1
Slovenia,8.9,8.8,8.6,9.9,12.4,11.5,11.8
Spain,2.1,2.6,4.1,9.3,13.4,12.7,12.8
TFYR Macedonia,4.8,5.5,6.2,6.2,6.3,6.3,6.3
Western Europe,9.2,10.2,11.2,11.8,12.5,13.3,14.4
Austria,10.3,11.2,12.3,13.8,15.2,17.2,19
Belgium,9,8.9,8.7,8.4,10.2,11.1,11.1
France,10.4,10.5,10.5,11,11.4,12.3,12.2
Germany,7.5,9.2,11,11.5,12.1,12.5,14.8
Liechtenstein,37.9,43.2,46.5,54.2,62.1,63.6,65.1
Luxembourg,29.8,30.9,32,32.9,49,46,45.3
Monaco,69.2,68.6,67.9,63.1,57,54.9,54.9
Netherlands,7.9,8.7,9.8,10.6,11,11.8,12.1
Switzerland,20.9,21.1,21.9,24.4,26.5,29,29.6
LATIN AMERICA AND THE CARIBBEAN,1.6,1.4,1.3,1.3,1.4,1.5,1.5
Caribbean,3.1,3.2,3.3,3.3,3.2,3.2,3.2
Anguilla,30.8,33.8,36.7,37.1,37.1,37.4,37.4
Antigua and Barbuda,18,23.8,27.6,27.7,27.9,28.1,28.1
Aruba,23.2,27.7,33.1,32.5,33.8,34.6,34.5
Bahamas,10.5,11.3,12.2,13.8,15.2,15.3,15.6
Barbados,9.2,9.9,10.5,11.2,11.7,12.1,12.1
British Virgin Islands,48.8,54.5,62.8,64.8,62.7,63.5,64
