Liechtenstein,29,31,33,35,36,37,38
Luxembourg,382,408,436,458,508,567,583
Monaco,29,31,32,34,37,38,39
Netherlands,14965,15468,15926,16367,16683,16938,17036
Switzerland,6675,7019,7167,741,7832,832,8476
LATIN AMERICA AND THE CARIBBEAN,445919,486863,525795,561656,597562,632381,645593
Caribbean,34237,36423,38404,40116,41725,4331,43883
Anguilla,8,10,11,13,14,15,15
Antigua and Barbuda,67,74,84,89,95,100,102
Aruba,62,80,91,100,102,104,105
Bahamas,256,280,298,329,361,387,395
Barbados,260,265,270,274,280,284,286
British Virgin Islands,16,18,21,23,27,30,31
Caribbean Netherlands,13,15,14,14,21,25,25
Cayman Islands,25,32,42,49,56,60,62
Cuba,10582,10906,11151,11284,11333,11461,11485
Curaçao,147,144,132,129,148,158,161
Dominica,71,71,70,71,71,73,74
Dominican Republic,7184,7892,8563,9238,9898,10528,10767
Grenada,96,100,102,103,105,107,108
Guadeloupe,386,403,425,440,451,450,450
Haiti,71,782,8549,9263,10,10711,10981
Jamaica,2424,2537,2657,2745,2817,2872,289
Martinique,358,369,387,397,395,386,385
Montserrat,11,10,5,5,5,5,5
Puerto Rico,3518,369,3797,3765,3717,3674,3663
Saint Kitts and Nevis,41,43,45,49,51,54,55
Saint Lucia,138,147,157,164,173,177,179
Saint Vincent and the Grenadines,108,108,108,109,109,109,110
Sint Maarten (Dutch part),29,31,32,33,33,39,40
Trinidad and Tobago,1222,1255,1268,1297,1328,136,1369
Turks and Caicos Islands,12,15,19,26,31,34,35
United States Virgin Islands,104,107,109,108,106,105,105
Central America,114731,126844,137992,148212,160557,172635,177316
Belize,188,207,247,283,322,359,375
Costa Rica,3096,3511,3925,4248,4545,4808,4906
El Salvador,5255,5611,5868,6029,6165,6312,6378
Guatemala,9264,10408,11651,13096,1463,16252,16914
Honduras,4955,5709,6524,7373,8195,8961,9265
Mexico,85358,94046,10172,108472,117319,125891,129163
Nicaragua,4145,4612,5027,5379,5738,6082,6218
Panama,2471,274,303,333,3643,3969,4099
South America,296951,323595,349399,373329,39528,416436,424394
Argentina,3273,34995,37057,39145,41224,43418,44271
Bolivia (Plurinational State of),6856,7567,834,9125,9918,10725,11052
Brazil,149352,162297,175288,186917,196796,205962,209288
Chile,13242,14297,15263,16147,16993,17763,18055
Colombia,34272,37442,40404,43286,45918,48229,49066
Ecuador,10218,11441,12629,13735,14935,16144,16625
Falkland Islands (Malvinas),2,2,3,3,3,3,3
French Guiana,116,137,163,204,234,269,283
Guyana,743,761,753,751,747,769,778
Paraguay,4214,4761,5303,5795,621,6639,6811
Peru,21827,24039,25915,2761,29374,31377,32165
Suriname,407,444,472,499,526,553,563
Uruguay,311,3225,3321,3326,3374,3432,3457
Venezuela (Bolivarian Republic of),19862,22189,24488,26784,29028,31155,31977
NORTHERN AMERICA,280345,295114,312845,327546,342937,356004,361208
Bermuda,61,63,64,65,64,62,61
Canada,27693,2933,30736,32288,34169,3595,36624
Greenland,56,56,56,57,57,56,56
Saint Pierre and Miquelon,6,6,6,6,6,6,6
USA,25253,265659,281983,29513,308641,319929,324459
OCEANIA,27071,29185,31229,33568,36636,39543,40691
Australia/New Zealand,2044,21752,22925,24374,2649,28414,29156
Australia,17041,18077,19066,20239,2212,238,24451
New Zealand,3398,3675,3859,4135,437,4615,4706
Melanesia,567,6388,7194,8048,8983,9933,10321
Fiji,729,775,811,822,860,892,906
New Caledonia,170,191,213,233,251,269,276
Papua New Guinea,4313,4894,5572,6315,7108,792,8251
Solomon Islands,312,359,413,470,528,587,611
Vanuatu,147,168,185,209,236,265,276
Micronesia,413,465,498,503,503,519,528
Guam,130,146,155,158,159,162,164
Kiribati,72,78,84,92,103,112,116
Marshall Islands,47,51,52,52,52,53,53
Micronesia (Fed States of),96,108,107,106,104,104,106
Nauru,9,10,10,10,10,11,11
Northern Mariana Islands,43,56,69,64,54,55,55
Palau,15,17,19,20,20,21,22
Polynesia,549,580,613,642,659,677,686
American Samoa,47,53,58,59,56,56,56
Cook Islands,18,19,18,20,19,17,17
French Polynesia,198,215,237,255,268,278,283
Niue,2,2,2,2,2,2,2
Samoa,163,170,175,180,186,194,196
Tokelau,2,2,2,1,1,1,1
Tonga,95,96,98,101,104,106,108
Tuvalu,9,9,9,10,11,11,11
Wallis and Futuna Islands,14,14,15,15,13,12,12
